grade_id,student_id,course_code,assignment1,assignment2,assignment3,midterm,final_exam,total_score,grade_letter,gpa,semester,recorded_date
244,UJ2024147,CHE1511,88.65,96.47,99.64,92.79,57.19,83.07,A,4.0,2024-1,2026-01-12
245,UJ2024147,SOC2601,90.17,67.6,83.19,66.49,98.36,82.27,A,4.0,2024-1,2026-01-12
246,UJ2024147,APM2611,68.94,75.34,83.43,59.85,65.27,68.7,B,3.0,2024-1,2026-01-12
247,UJ2024147,PLS2601,71.41,58.53,77.49,89.21,97.88,82.78,A,4.0,2024-1,2026-01-12
248,UJ2024148,MNB2601,63.68,74.42,87.15,66.0,70.2,71.35,B+,3.5,2024-1,2026-01-12
249,UJ2024148,FAC1502,54.14,87.26,92.78,50.76,91.19,75.17,A,4.0,2024-1,2026-01-12
250,UJ2024148,INF1511,85.72,53.82,67.43,86.53,90.07,79.7,A,4.0,2024-1,2026-01-12
251,UJ2024149,MAT2681,86.16,66.14,78.32,52.54,62.44,66.46,B,3.0,2024-1,2026-01-12
252,UJ2024149,ART2611,59.88,79.56,95.11,50.71,59.76,65.79,B,3.0,2024-1,2026-01-12
253,UJ2024151,ARC1511,99.02,73.96,91.48,51.35,75.66,75.2,A,4.0,2024-1,2026-01-12
254,UJ2024152,ARC1511,77.17,89.57,74.06,62.34,87.49,77.95,A,4.0,2024-1,2026-01-12
255,UJ2024152,ART1511,70.5,89.46,59.48,53.75,80.05,70.37,B+,3.5,2024-1,2026-01-12
256,UJ2024152,SOC2601,67.87,67.25,61.82,89.37,62.17,70.53,B+,3.5,2024-1,2026-01-12
257,UJ2024153,NUR1511,71.26,60.92,61.41,51.73,91.5,69.42,B,3.0,2024-1,2026-01-12
258,UJ2024154,INF1511,73.2,52.25,71.96,70.49,83.72,72.35,B+,3.5,2024-1,2026-01-12
259,UJ2024154,EKN114,71.44,57.57,86.9,68.67,56.15,66.4,B,3.0,2024-1,2026-01-12
260,UJ2024154,ENG2611,67.71,79.87,59.29,87.31,87.86,79.22,A,4.0,2024-1,2026-01-12
261,UJ2024154,MAT2681,95.55,88.07,51.93,85.36,58.26,74.15,B+,3.5,2024-1,2026-01-12
262,UJ2024155,SOC1501,74.13,83.13,87.02,74.82,82.07,79.97,A,4.0,2024-1,2026-01-12
263,UJ2024155,ENG1511,88.25,64.51,85.11,58.83,54.02,66.59,B,3.0,2024-1,2026-01-12
264,UJ2024157,ENG1511,74.21,84.89,55.87,95.52,64.83,75.57,A,4.0,2024-1,2026-01-12
265,UJ2024157,INF1511,87.04,64.09,97.72,73.55,66.34,75.62,A,4.0,2024-1,2026-01-12
266,UJ2024158,SOC1501,83.32,66.61,64.15,93.23,68.33,75.92,A,4.0,2024-1,2026-01-12
267,UJ2024158,PLS1501,80.81,74.68,99.13,59.24,84.92,78.48,A,4.0,2024-1,2026-01-12
268,UJ2024158,APM1513,74.1,75.17,51.36,78.7,50.54,64.93,C+,2.5,2024-1,2026-01-12
269,UJ2024160,BIO2611,80.88,90.54,65.22,52.3,92.77,76.4,A,4.0,2024-1,2026-01-12
270,UJ2024161,FAC2601,62.81,64.42,80.88,79.98,82.39,75.93,A,4.0,2024-1,2026-01-12
271,UJ2024161,ARC1511,89.9,77.83,98.03,73.3,71.2,79.55,A,4.0,2024-1,2026-01-12
272,UJ2024162,LAW2611,60.8,52.89,55.52,99.35,96.91,79.29,A,4.0,2024-1,2026-01-12
273,UJ2024162,ENG2611,90.24,95.37,70.92,51.05,59.53,69.1,B,3.0,2024-1,2026-01-12
274,UJ2024163,ARC2611,75.7,59.67,90.65,98.51,68.52,79.09,A,4.0,2024-1,2026-01-12
275,UJ2024163,MAT2681,56.6,73.44,80.25,74.78,98.72,79.85,A,4.0,2024-1,2026-01-12
276,UJ2024164,MAT1581,87.71,71.91,64.65,85.66,83.4,80.08,A,4.0,2024-1,2026-01-12
277,UJ2024165,MNB2601,92.58,76.59,77.17,77.91,79.53,80.29,A,4.0,2024-1,2026-01-12
278,UJ2024166,ENG2611,97.99,71.18,53.19,70.87,99.22,80.84,A,4.0,2024-1,2026-01-12
279,UJ2024167,PHY1513,67.48,94.8,52.43,77.53,74.18,73.84,B+,3.5,2024-1,2026-01-12
280,UJ2024167,PHY2611,62.16,68.78,72.93,93.53,99.31,83.76,A,4.0,2024-1,2026-01-12
281,UJ2024167,ARC1511,79.9,79.51,98.84,71.31,73.2,78.53,A,4.0,2024-1,2026-01-12
282,UJ2024169,MAT1581,55.33,51.71,80.86,66.41,86.31,70.68,B+,3.5,2024-1,2026-01-12
283,UJ2024169,FAC2601,51.49,83.79,56.76,79.73,84.05,73.95,B+,3.5,2024-1,2026-01-12
284,UJ2024169,SOC2601,91.43,66.78,65.68,57.4,68.08,68.36,B,3.0,2024-1,2026-01-12
285,UJ2024169,LAW2611,76.06,93.36,64.03,59.06,81.85,74.34,B+,3.5,2024-1,2026-01-12
286,UJ2024170,ARC1511,89.74,59.24,55.84,96.72,78.46,78.44,A,4.0,2024-1,2026-01-12
287,UJ2024171,CHE1511,64.51,90.74,72.53,50.37,75.88,69.52,B,3.0,2024-1,2026-01-12
288,UJ2024171,EKN114,68.43,53.16,75.44,51.55,98.73,72.06,B+,3.5,2024-1,2026-01-12
289,UJ2024171,MAT2681,52.92,71.59,62.23,64.04,96.32,72.92,B+,3.5,2024-1,2026-01-12
290,UJ2024171,LAW2611,98.79,51.63,86.04,86.52,61.19,75.46,A,4.0,2024-1,2026-01-12
291,UJ2024172,ENG2611,98.19,51.42,82.64,95.21,63.44,77.67,A,4.0,2024-1,2026-01-12
292,UJ2024173,CHE2611,81.43,73.46,98.26,94.43,51.25,76.95,A,4.0,2024-1,2026-01-12
293,UJ2024174,MNB1501,77.92,60.74,74.39,57.35,93.65,74.39,B+,3.5,2024-1,2026-01-12
294,UJ2024174,ART1511,80.69,71.77,69.54,94.62,76.83,80.0,A,4.0,2024-1,2026-01-12
295,UJ2024175,COS2611,69.25,79.63,88.81,65.08,80.3,76.01,A,4.0,2024-1,2026-01-12
296,UJ2024176,BIO1511,79.58,60.66,93.26,86.13,76.93,79.64,A,4.0,2024-1,2026-01-12
297,UJ2024176,LAW1511,77.37,92.81,88.49,87.95,78.3,84.28,A,4.0,2024-1,2026-01-12
298,UJ2024177,PHY1513,90.42,75.15,76.38,97.39,82.81,85.48,A,4.0,2024-1,2026-01-12
299,UJ2024177,ENG1511,76.07,57.45,84.6,55.75,86.35,72.56,B+,3.5,2024-1,2026-01-12
300,UJ2024178,PHY1513,97.6,86.53,92.88,95.09,95.27,93.91,A,4.0,2024-1,2026-01-12
301,UJ2024178,INF2611,65.07,51.55,58.72,92.02,81.83,73.85,B+,3.5,2024-1,2026-01-12
302,UJ2024179,EKN224,87.76,79.44,55.63,86.01,93.99,83.12,A,4.0,2024-1,2026-01-12
303,UJ2024179,NUR2611,75.34,74.44,65.09,74.07,79.63,74.64,B+,3.5,2024-1,2026-01-12
304,UJ2024179,ENG2611,62.14,50.89,71.85,65.81,98.42,73.71,B+,3.5,2024-1,2026-01-12
305,UJ2024179,MNB2601,96.51,79.64,60.07,74.64,71.81,75.64,A,4.0,2024-1,2026-01-12
306,UJ2024180,INF2611,65.43,99.21,92.97,65.28,76.72,77.98,A,4.0,2024-1,2026-01-12
307,UJ2024181,ENG1511,85.13,83.29,74.43,83.01,72.15,78.82,A,4.0,2024-1,2026-01-12
308,UJ2024181,PLS1501,74.26,81.01,97.7,50.39,59.29,68.33,B,3.0,2024-1,2026-01-12
309,UJ2024182,MNB2601,63.09,95.56,78.09,68.46,51.41,68.05,B,3.0,2024-1,2026-01-12
310,UJ2024182,SOC2601,89.0,57.04,61.68,79.87,52.15,66.77,B,3.0,2024-1,2026-01-12
311,UJ2024183,NUR1511,57.87,86.22,65.57,63.34,69.0,67.98,B,3.0,2024-1,2026-01-12
312,UJ2024183,SOC2601,55.7,61.98,72.21,96.74,99.25,82.44,A,4.0,2024-1,2026-01-12
313,UJ2024184,ENG2611,95.92,64.08,92.35,78.59,65.16,77.05,A,4.0,2024-1,2026-01-12
314,UJ2024186,FAC2601,99.72,60.07,90.25,50.19,57.18,67.21,B,3.0,2024-1,2026-01-12
315,UJ2024187,ENG1511,52.61,60.44,85.77,84.92,99.32,80.85,A,4.0,2024-1,2026-01-12
316,UJ2024188,MNB1501,93.19,82.28,78.28,67.84,62.38,73.74,B+,3.5,2024-1,2026-01-12
317,UJ2024188,ART1511,60.02,53.8,59.44,89.65,92.24,76.07,A,4.0,2024-1,2026-01-12
318,UJ2024189,NUR2611,84.18,67.11,66.25,75.26,78.56,75.01,A,4.0,2024-1,2026-01-12
319,UJ2024189,CHE2611,93.63,65.14,84.43,83.02,72.39,78.95,A,4.0,2024-1,2026-01-12
320,UJ2024189,FAC2601,73.69,96.9,79.87,63.82,85.47,79.16,A,4.0,2024-1,2026-01-12
321,UJ2024189,EKN224,55.33,91.68,57.4,72.39,96.74,77.78,A,4.0,2024-1,2026-01-12
322,UJ2024189,LAW2611,55.37,87.87,62.52,54.19,80.36,68.52,B,3.0,2024-1,2026-01-12
323,UJ2024190,EKN224,52.65,91.02,92.29,80.33,59.4,73.3,B+,3.5,2024-1,2026-01-12
324,UJ2024190,COS1511,66.2,75.81,57.86,86.36,67.68,71.87,B+,3.5,2024-1,2026-01-12
325,UJ2024190,ART2611,77.47,87.99,77.34,90.56,90.78,86.29,A,4.0,2024-1,2026-01-12
326,UJ2024190,NUR1511,67.89,69.11,77.31,87.77,99.54,83.95,A,4.0,2024-1,2026-01-12
327,UJ2024191,ARC2611,62.92,88.7,91.89,72.89,77.17,77.9,A,4.0,2024-1,2026-01-12
328,UJ2024191,INF1511,74.24,65.92,63.71,61.77,59.19,63.78,C+,2.5,2024-1,2026-01-12
329,UJ2024192,PLS2601,78.8,90.42,91.52,82.48,70.46,80.87,A,4.0,2024-1,2026-01-12
330,UJ2024192,MNB1501,57.57,64.86,86.21,78.15,87.89,77.2,A,4.0,2024-1,2026-01-12
331,UJ2024193,MNB2601,71.23,56.61,93.05,66.71,89.52,76.67,A,4.0,2024-1,2026-01-12
332,UJ2024194,APM1513,65.77,95.73,74.45,73.4,98.48,83.29,A,4.0,2024-1,2026-01-12
333,UJ2024194,BIO2611,92.1,71.36,59.69,94.55,99.04,86.82,A,4.0,2024-1,2026-01-12
334,UJ2024194,LAW2611,70.81,95.92,53.95,55.53,90.61,74.17,B+,3.5,2024-1,2026-01-12
335,UJ2024194,MAT2681,78.74,94.42,94.02,58.75,84.24,80.04,A,4.0,2024-1,2026-01-12
336,UJ2024195,INF2611,68.95,94.63,56.72,89.57,97.17,84.59,A,4.0,2024-1,2026-01-12
337,UJ2024195,APM2611,71.08,91.91,51.1,90.59,97.16,83.91,A,4.0,2024-1,2026-01-12
338,UJ2024196,MNB1501,59.48,99.52,82.36,59.39,52.41,66.77,B,3.0,2024-1,2026-01-12
339,UJ2024196,PLS2601,63.8,61.94,54.53,89.78,88.79,76.12,A,4.0,2024-1,2026-01-12
340,UJ2024196,APM2611,72.38,83.93,52.11,56.8,57.8,62.8,C+,2.5,2024-1,2026-01-12
341,UJ2024199,CHE2611,58.04,67.72,74.94,83.65,77.51,74.27,B+,3.5,2024-1,2026-01-12
342,UJ2024199,ENG1511,77.49,79.32,69.57,51.92,70.6,68.12,B,3.0,2024-1,2026-01-12
343,UJ2024200,ART1511,86.24,92.05,99.41,76.88,54.11,77.11,A,4.0,2024-1,2026-01-12
344,UJ2024201,APM2611,78.14,92.88,61.52,70.96,61.41,71.04,B+,3.5,2024-1,2026-01-12
345,UJ2024202,PLS2601,52.8,62.91,66.1,97.84,78.67,75.33,A,4.0,2024-1,2026-01-12
346,UJ2024203,ARC2611,68.64,72.6,95.1,70.7,92.15,80.77,A,4.0,2024-1,2026-01-12
347,UJ2024204,INF2611,78.23,80.7,68.83,81.41,69.52,75.37,A,4.0,2024-1,2026-01-12
348,UJ2024205,INF2611,51.74,55.59,82.32,51.44,89.76,68.24,B,3.0,2024-1,2026-01-12
349,UJ2024205,ARC2611,78.12,91.69,66.92,69.55,99.43,82.73,A,4.0,2024-1,2026-01-12
350,UJ2024205,PLS2601,72.36,69.03,59.97,50.96,59.39,60.76,C+,2.5,2024-1,2026-01-12
351,UJ2024205,ART2611,76.46,54.17,80.11,98.88,71.83,77.88,A,4.0,2024-1,2026-01-12
352,UJ2024207,MAT2681,65.13,64.5,71.91,62.76,82.86,70.78,B+,3.5,2024-1,2026-01-12
353,UJ2024207,ENG2611,53.83,64.66,70.06,63.85,57.12,61.38,C+,2.5,2024-1,2026-01-12
354,UJ2024209,ENG2611,51.91,64.29,61.29,50.24,58.86,56.84,C,2.0,2024-1,2026-01-12
355,UJ2024210,LAW1511,69.94,89.69,62.12,64.3,82.18,73.99,B+,3.5,2024-1,2026-01-12
356,UJ2024210,PLS2601,97.07,96.37,87.0,63.2,96.96,86.95,A,4.0,2024-1,2026-01-12
357,UJ2024211,BIO1511,72.37,69.95,85.39,68.92,87.96,77.77,A,4.0,2024-1,2026-01-12
358,UJ2024212,ENG1511,82.0,65.29,86.99,68.05,69.61,73.04,B+,3.5,2024-1,2026-01-12
359,UJ2024213,PLS1501,81.8,56.22,63.12,51.43,56.53,59.99,C,2.0,2024-1,2026-01-12
360,UJ2024213,CHE1511,91.27,69.74,91.79,65.75,85.93,80.14,A,4.0,2024-1,2026-01-12
361,UJ2024213,PHY1513,75.56,86.47,95.33,87.33,66.34,80.34,A,4.0,2024-1,2026-01-12
362,UJ2024213,PHY2611,71.03,53.95,80.75,50.1,91.59,70.86,B+,3.5,2024-1,2026-01-12
363,UJ2024213,COS1511,59.33,86.5,52.48,80.53,53.64,65.97,B,3.0,2024-1,2026-01-12
364,UJ2024214,NUR2611,75.6,79.48,62.53,96.22,63.21,75.66,A,4.0,2024-1,2026-01-12
365,UJ2024214,PLS1501,59.69,80.62,65.97,64.12,89.71,73.88,B+,3.5,2024-1,2026-01-12
366,UJ2024214,SOC2601,97.72,81.01,67.12,82.89,69.46,78.44,A,4.0,2024-1,2026-01-12
367,UJ2024215,PHY1513,77.35,99.82,56.33,82.86,86.48,81.68,A,4.0,2024-1,2026-01-12
368,UJ2024216,SOC2601,98.41,94.87,67.77,70.72,67.62,77.12,A,4.0,2024-1,2026-01-12
369,UJ2024216,PLS1501,90.73,50.86,78.89,66.94,92.67,77.61,A,4.0,2024-1,2026-01-12
370,UJ2024217,EKN224,93.35,89.32,61.4,58.11,66.81,71.18,B+,3.5,2024-1,2026-01-12
371,UJ2024217,CHE1511,58.02,73.76,54.28,78.02,81.88,71.98,B+,3.5,2024-1,2026-01-12
372,UJ2024219,APM2611,92.42,60.44,51.48,51.79,59.85,61.55,C+,2.5,2024-1,2026-01-12
373,UJ2024219,EKN224,97.39,81.94,78.08,68.73,53.83,71.94,B+,3.5,2024-1,2026-01-12
374,UJ2024219,NUR2611,95.85,62.22,54.33,82.84,98.31,82.06,A,4.0,2024-1,2026-01-12
375,UJ2024219,PHY1513,96.19,91.32,96.53,60.39,95.21,86.27,A,4.0,2024-1,2026-01-12
376,UJ2024220,ART2611,98.97,50.06,57.6,72.22,53.86,65.21,B,3.0,2024-1,2026-01-12
377,UJ2024221,CHE1511,99.18,59.48,69.36,53.77,51.5,63.1,C+,2.5,2024-1,2026-01-12
378,UJ2024223,PLS1501,85.14,95.97,96.7,73.3,85.27,85.58,A,4.0,2024-1,2026-01-12
379,UJ2024224,FAC2601,53.12,67.27,66.75,97.21,82.02,76.98,A,4.0,2024-1,2026-01-12
380,UJ2024225,FAC1502,97.33,71.05,93.48,65.7,51.46,71.14,B+,3.5,2024-1,2026-01-12
381,UJ2024225,ARC1511,73.1,88.31,99.9,75.59,55.67,74.8,B+,3.5,2024-1,2026-01-12
382,UJ2024225,APM2611,66.38,63.04,77.91,61.76,57.91,63.91,C+,2.5,2024-1,2026-01-12
383,UJ2024226,FAC1502,77.42,88.32,88.33,91.6,70.08,82.03,A,4.0,2024-1,2026-01-12
384,UJ2024226,PLS2601,83.78,58.44,81.21,51.62,71.34,67.82,B,3.0,2024-1,2026-01-12
385,UJ2024226,APM1513,53.65,71.31,61.63,51.82,78.47,64.48,C+,2.5,2024-1,2026-01-12
386,UJ2024227,MAT1581,71.66,76.92,91.31,86.35,89.19,84.33,A,4.0,2024-1,2026-01-12
387,UJ2024227,COS1511,55.19,85.24,59.94,79.65,61.25,68.34,B,3.0,2024-1,2026-01-12
388,UJ2024227,FAC2601,99.1,80.11,76.68,97.21,90.34,89.79,A,4.0,2024-1,2026-01-12
389,UJ2024228,FAC2601,68.78,93.18,78.87,61.88,92.76,79.42,A,4.0,2024-1,2026-01-12
390,UJ2024228,APM1513,79.68,82.86,97.85,70.5,64.67,76.08,A,4.0,2024-1,2026-01-12
391,UJ2024229,PHY2611,91.54,89.75,70.24,76.94,89.17,83.72,A,4.0,2024-1,2026-01-12
392,UJ2024229,ARC1511,50.26,85.54,58.43,50.6,86.22,67.65,B,3.0,2024-1,2026-01-12
393,UJ2024230,ENG1511,69.98,81.71,52.74,76.13,76.27,72.58,B+,3.5,2024-1,2026-01-12
394,UJ2024231,FAC2601,96.11,98.15,95.05,61.62,64.45,78.14,A,4.0,2024-1,2026-01-12
395,UJ2024232,ART1511,86.38,85.38,51.86,51.75,70.5,67.63,B,3.0,2024-1,2026-01-12
396,UJ2024232,BIO1511,71.0,80.63,63.93,97.68,50.65,71.95,B+,3.5,2024-1,2026-01-12
397,UJ2024232,NUR1511,83.25,85.65,65.26,90.41,70.69,78.93,A,4.0,2024-1,2026-01-12
398,UJ2024233,APM2611,58.2,79.26,63.77,59.62,57.43,62.32,C+,2.5,2024-1,2026-01-12
399,UJ2024233,SOC1501,93.64,90.13,63.96,78.76,79.38,80.66,A,4.0,2024-1,2026-01-12
400,UJ2024234,CHE2611,94.92,58.6,60.45,98.28,50.31,71.76,B+,3.5,2024-1,2026-01-12
401,UJ2024234,MNB1501,71.19,68.2,88.75,78.49,78.36,77.35,A,4.0,2024-1,2026-01-12
402,UJ2024235,MAT2681,91.08,76.51,50.3,50.79,79.79,69.32,B,3.0,2024-1,2026-01-12
403,UJ2024236,BIO2611,88.86,89.55,73.95,68.92,80.52,79.24,A,4.0,2024-1,2026-01-12
404,UJ2024236,ARC1511,53.08,77.83,66.92,51.48,98.49,72.09,B+,3.5,2024-1,2026-01-12
405,UJ2024238,MNB1501,83.12,52.76,89.64,90.12,78.63,79.95,A,4.0,2024-1,2026-01-12
406,UJ2024239,NUR1511,95.12,94.25,68.36,56.98,96.31,81.8,A,4.0,2024-1,2026-01-12
407,UJ2024239,FAC2601,90.3,95.4,94.37,96.23,99.54,95.93,A,4.0,2024-1,2026-01-12
408,UJ2024240,NUR2611,78.03,53.02,60.16,67.07,84.01,70.65,B+,3.5,2024-1,2026-01-12
409,UJ2024241,FAC1502,92.27,92.5,70.8,65.74,79.98,78.76,A,4.0,2024-1,2026-01-12
410,UJ2024242,CHE1511,99.05,55.07,83.97,93.03,97.41,88.19,A,4.0,2024-1,2026-01-12
411,UJ2024243,LAW2611,69.99,95.07,66.78,57.29,63.31,68.09,B,3.0,2024-1,2026-01-12
412,UJ2024243,EKN114,85.73,55.29,54.32,69.57,79.6,70.57,B+,3.5,2024-1,2026-01-12
413,UJ2024243,ARC1511,90.66,87.68,75.4,92.21,76.11,83.95,A,4.0,2024-1,2026-01-12
414,UJ2024243,APM1513,67.66,81.04,52.67,82.69,78.67,74.48,B+,3.5,2024-1,2026-01-12
415,UJ2024244,MNB1501,85.81,85.76,97.21,96.8,79.9,88.49,A,4.0,2024-1,2026-01-12
416,UJ2024244,PHY2611,79.78,53.7,89.73,74.94,52.28,67.9,B,3.0,2024-1,2026-01-12
417,UJ2024245,PLS1501,69.5,58.79,98.39,93.12,71.01,78.58,A,4.0,2024-1,2026-01-12
418,UJ2024246,FAC2601,98.1,99.13,68.88,73.73,70.24,79.42,A,4.0,2024-1,2026-01-12
419,UJ2024246,SOC1501,98.41,66.74,87.96,87.94,64.98,79.45,A,4.0,2024-1,2026-01-12
420,UJ2024246,APM1513,70.26,54.71,70.15,93.51,96.08,81.47,A,4.0,2024-1,2026-01-12
421,UJ2024246,MNB1501,69.85,59.46,80.15,71.59,85.04,74.83,B+,3.5,2024-1,2026-01-12
422,UJ2024247,ART1511,67.1,73.8,56.06,56.5,71.41,65.09,B,3.0,2024-1,2026-01-12
423,UJ2024248,FAC2601,65.5,82.11,91.31,83.81,61.45,75.23,A,4.0,2024-1,2026-01-12
424,UJ2024249,APM1513,94.28,99.37,86.04,73.75,68.68,81.0,A,4.0,2024-1,2026-01-12
425,UJ2024250,ART1511,72.07,82.36,72.08,99.11,85.8,84.49,A,4.0,2024-1,2026-01-12
426,UJ2024250,LAW2611,59.74,76.72,52.4,55.46,88.08,68.62,B,3.0,2024-1,2026-01-12
427,UJ2024251,CHE1511,90.21,56.18,69.9,54.7,53.91,62.29,C+,2.5,2024-1,2026-01-12
428,UJ2024252,CHE1511,73.78,69.89,91.05,56.98,62.73,68.27,B,3.0,2024-1,2026-01-12
429,UJ2024253,INF1511,66.15,86.51,54.15,67.95,90.52,75.16,A,4.0,2024-1,2026-01-12
430,UJ2024254,MAT1581,95.47,94.62,75.47,95.34,98.0,93.07,A,4.0,2024-1,2026-01-12
431,UJ2024255,MAT1581,79.02,98.27,61.33,96.94,59.53,77.89,A,4.0,2024-1,2026-01-12
432,UJ2024255,EKN114,96.84,83.86,58.23,91.95,95.26,87.41,A,4.0,2024-1,2026-01-12
433,UJ2024256,BIO2611,65.83,72.85,56.25,77.96,86.05,74.54,B+,3.5,2024-1,2026-01-12
434,UJ2024256,BIO1511,86.96,94.57,66.22,51.85,66.23,69.99,B,3.0,2024-1,2026-01-12
435,UJ2024257,ARC1511,99.95,55.27,55.36,56.56,59.21,63.49,C+,2.5,2024-1,2026-01-12
436,UJ2024257,MAT2681,97.08,97.57,90.04,91.14,66.3,85.38,A,4.0,2024-1,2026-01-12
437,UJ2024257,NUR2611,76.37,62.49,71.4,59.1,83.72,71.43,B+,3.5,2024-1,2026-01-12
438,UJ2024258,INF1511,75.14,74.82,93.88,96.63,66.48,80.68,A,4.0,2024-1,2026-01-12
439,UJ2024258,ENG1511,97.93,83.16,61.07,79.55,92.13,83.85,A,4.0,2024-1,2026-01-12
440,UJ2024259,CHE2611,96.57,72.36,66.0,55.31,85.67,74.77,B+,3.5,2024-1,2026-01-12
441,UJ2024259,BIO1511,97.39,65.7,84.08,67.29,65.28,73.48,B+,3.5,2024-1,2026-01-12
442,UJ2024260,INF1511,81.11,51.84,59.48,96.71,88.42,79.57,A,4.0,2024-1,2026-01-12
443,UJ2024260,INF2611,53.36,74.4,75.0,83.78,60.85,69.61,B,3.0,2024-1,2026-01-12
444,UJ2024260,PHY2611,74.92,93.49,88.79,86.63,95.3,88.83,A,4.0,2024-1,2026-01-12
445,UJ2024260,ARC1511,85.6,73.05,89.77,81.11,63.18,76.49,A,4.0,2024-1,2026-01-12
446,UJ2024261,ENG1511,94.86,73.49,59.26,61.36,78.5,73.03,B+,3.5,2024-1,2026-01-12
447,UJ2024262,INF2611,84.61,59.36,67.02,79.8,53.59,67.68,B,3.0,2024-1,2026-01-12
448,UJ2024262,PLS1501,93.68,98.19,73.91,56.4,65.42,73.59,B+,3.5,2024-1,2026-01-12
449,UJ2024262,ART2611,59.99,92.66,53.38,89.35,78.42,76.77,A,4.0,2024-1,2026-01-12
450,UJ2024262,PHY2611,59.64,99.06,62.83,76.82,79.12,76.17,A,4.0,2024-1,2026-01-12
451,UJ2024263,PHY2611,75.65,65.98,97.95,62.01,62.63,70.23,B+,3.5,2024-1,2026-01-12
452,UJ2024263,LAW2611,65.65,61.04,74.84,94.99,87.38,80.19,A,4.0,2024-1,2026-01-12
453,UJ2024263,PLS2601,71.9,83.34,51.73,62.85,78.99,70.45,B+,3.5,2024-1,2026-01-12
454,UJ2024263,BIO1511,99.97,62.56,64.13,79.29,64.07,73.04,B+,3.5,2024-1,2026-01-12
455,UJ2024264,NUR1511,95.72,88.17,58.36,80.13,50.68,71.57,B+,3.5,2024-1,2026-01-12
456,UJ2024264,EKN114,91.59,62.19,87.0,66.44,70.13,73.77,B+,3.5,2024-1,2026-01-12
457,UJ2024265,LAW1511,85.63,60.73,90.09,99.82,87.99,86.82,A,4.0,2024-1,2026-01-12
458,UJ2024266,EKN224,81.16,74.0,85.34,69.18,64.01,72.57,B+,3.5,2024-1,2026-01-12
459,UJ2024267,ARC2611,74.16,92.03,53.59,79.03,59.52,70.58,B+,3.5,2024-1,2026-01-12
460,UJ2024267,PLS1501,61.15,56.86,54.38,65.28,97.47,71.42,B+,3.5,2024-1,2026-01-12
461,UJ2024267,FAC2601,76.84,93.11,91.67,82.74,79.73,83.85,A,4.0,2024-1,2026-01-12
462,UJ2024268,ENG2611,90.87,95.16,80.14,51.48,98.97,82.49,A,4.0,2024-1,2026-01-12
463,UJ2024268,ENG1511,76.8,85.32,89.1,91.55,79.36,84.38,A,4.0,2024-1,2026-01-12
464,UJ2024268,LAW1511,60.0,59.17,69.23,71.68,79.73,70.1,B+,3.5,2024-1,2026-01-12
465,UJ2024268,CHE2611,74.6,53.43,56.5,89.16,91.66,77.47,A,4.0,2024-1,2026-01-12
466,UJ2024269,MAT2681,77.06,70.41,97.4,64.47,77.82,76.19,A,4.0,2024-1,2026-01-12
467,UJ2024269,COS1511,58.16,92.09,84.71,75.07,82.29,78.7,A,4.0,2024-1,2026-01-12
468,UJ2024269,EKN114,58.79,74.69,64.05,56.0,78.66,67.23,B,3.0,2024-1,2026-01-12
469,UJ2024270,INF2611,67.34,77.19,72.54,82.0,62.48,71.8,B+,3.5,2024-1,2026-01-12
470,UJ2024271,INF2611,60.52,75.83,88.45,96.7,89.28,84.68,A,4.0,2024-1,2026-01-12
471,UJ2024271,PLS2601,57.55,85.59,83.44,64.27,63.23,69.02,B,3.0,2024-1,2026-01-12
472,UJ2024274,MAT2681,60.49,64.09,53.55,68.43,63.63,62.92,C+,2.5,2024-1,2026-01-12
473,UJ2024274,SOC2601,52.28,61.76,63.58,81.52,78.85,70.68,B+,3.5,2024-1,2026-01-12
474,UJ2024274,APM2611,92.46,66.02,60.9,72.85,96.02,79.93,A,4.0,2024-1,2026-01-12
475,UJ2024274,EKN224,70.82,57.89,82.19,83.32,80.46,76.6,A,4.0,2024-1,2026-01-12
476,UJ2024275,PLS1501,70.97,87.64,79.3,97.24,86.99,86.09,A,4.0,2024-1,2026-01-12
477,UJ2024278,FAC2601,63.65,85.2,76.96,67.45,70.63,71.92,B+,3.5,2024-1,2026-01-12
478,UJ2024278,ARC1511,77.81,60.58,95.98,94.59,86.59,84.78,A,4.0,2024-1,2026-01-12
479,UJ2024278,EKN114,87.34,74.11,90.52,68.32,65.18,74.43,B+,3.5,2024-1,2026-01-12
480,UJ2024279,NUR2611,79.22,68.87,74.77,81.03,84.84,79.14,A,4.0,2024-1,2026-01-12
481,UJ2024279,NUR1511,82.23,98.19,90.81,53.9,88.87,80.82,A,4.0,2024-1,2026-01-12
482,UJ2024279,APM2611,58.28,56.87,82.19,93.73,67.44,73.27,B+,3.5,2024-1,2026-01-12
483,UJ2024279,PHY1513,94.18,81.11,50.22,54.09,93.19,75.31,A,4.0,2024-1,2026-01-12
484,UJ2024280,EKN224,56.33,76.5,69.75,99.3,76.88,78.28,A,4.0,2024-1,2026-01-12
485,UJ2024281,PLS1501,57.98,52.94,77.6,73.89,77.28,69.93,B,3.0,2024-1,2026-01-12
486,UJ2024281,NUR2611,93.39,91.25,57.33,85.06,68.6,78.14,A,4.0,2024-1,2026-01-12
487,UJ2024282,ARC2611,62.74,61.1,77.49,54.93,66.62,63.92,C+,2.5,2024-1,2026-01-12
